// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.22 sec)   *****
// Found 1 benchmarks:
//   MutexBenchmark.StartThreads: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: MutexBenchmark.StartThreads: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 251300.00 ns, 251.3000 us/op
WorkloadJitting  1: 1 op, 305488600.00 ns, 305.4886 ms/op

OverheadWarmup   1: 1 op, 5200.00 ns, 5.2000 us/op
OverheadWarmup   2: 1 op, 600.00 ns, 600.0000 ns/op
OverheadWarmup   3: 1 op, 500.00 ns, 500.0000 ns/op
OverheadWarmup   4: 1 op, 700.00 ns, 700.0000 ns/op
OverheadWarmup   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   6: 1 op, 1100.00 ns, 1.1000 us/op
OverheadWarmup   7: 1 op, 700.00 ns, 700.0000 ns/op

OverheadActual   1: 1 op, 1000.00 ns, 1.0000 us/op
OverheadActual   2: 1 op, 700.00 ns, 700.0000 ns/op
OverheadActual   3: 1 op, 1500.00 ns, 1.5000 us/op
OverheadActual   4: 1 op, 700.00 ns, 700.0000 ns/op
OverheadActual   5: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual   6: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   7: 1 op, 800.00 ns, 800.0000 ns/op
OverheadActual   8: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual   9: 1 op, 1300.00 ns, 1.3000 us/op
OverheadActual  10: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual  11: 1 op, 900.00 ns, 900.0000 ns/op
OverheadActual  12: 1 op, 3400.00 ns, 3.4000 us/op
OverheadActual  13: 1 op, 700.00 ns, 700.0000 ns/op
OverheadActual  14: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual  15: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual  16: 1 op, 700.00 ns, 700.0000 ns/op
OverheadActual  17: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual  18: 1 op, 500.00 ns, 500.0000 ns/op
