// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 3 benchmarks:
//   Perf_Environment.GetEnvironmentVariable: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
//   Perf_Environment.ExpandEnvironmentVariables: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
//   Perf_Environment.GetEnvironmentVariables: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Perf_Environment.GetEnvironmentVariable: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 361100.00 ns, 361.1000 us/op
WorkloadJitting  1: 1 op, 445600.00 ns, 445.6000 us/op

OverheadJitting  2: 16 op, 1218700.00 ns, 76.1688 us/op
WorkloadJitting  2: 16 op, 1132800.00 ns, 70.8000 us/op

WorkloadPilot    1: 16 op, 13800.00 ns, 862.5000 ns/op
WorkloadPilot    2: 32 op, 17000.00 ns, 531.2500 ns/op
WorkloadPilot    3: 64 op, 17100.00 ns, 267.1875 ns/op
WorkloadPilot    4: 128 op, 49100.00 ns, 383.5938 ns/op
WorkloadPilot    5: 256 op, 53300.00 ns, 208.2031 ns/op
WorkloadPilot    6: 512 op, 98400.00 ns, 192.1875 ns/op
WorkloadPilot    7: 1024 op, 204300.00 ns, 199.5117 ns/op
WorkloadPilot    8: 2048 op, 382200.00 ns, 186.6211 ns/op
WorkloadPilot    9: 4096 op, 765200.00 ns, 186.8164 ns/op
WorkloadPilot   10: 8192 op, 1606000.00 ns, 196.0449 ns/op
WorkloadPilot   11: 16384 op, 5217100.00 ns, 318.4265 ns/op
WorkloadPilot   12: 32768 op, 6645500.00 ns, 202.8046 ns/op
WorkloadPilot   13: 65536 op, 12295300.00 ns, 187.6114 ns/op
WorkloadPilot   14: 131072 op, 27864400.00 ns, 212.5885 ns/op
WorkloadPilot   15: 262144 op, 51002100.00 ns, 194.5576 ns/op
WorkloadPilot   16: 524288 op, 106295000.00 ns, 202.7416 ns/op
WorkloadPilot   17: 1048576 op, 200577100.00 ns, 191.2852 ns/op
