// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.22 sec)   *****
// Found 2 benchmarks:
//   AsyncMethods.EmptyAsyncMethodInvocation: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
//   AsyncMethods.SingleYieldMethodInvocation: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: AsyncMethods.EmptyAsyncMethodInvocation: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 100000 op, 206400.00 ns, 2.0640 ns/op
WorkloadJitting  1: 100000 op, 7299600.00 ns, 72.9960 ns/op

OverheadJitting  2: 1600000 op, 313700.00 ns, 0.1961 ns/op
WorkloadJitting  2: 1600000 op, 32626200.00 ns, 20.3914 ns/op

WorkloadPilot    1: 1600000 op, 29865500.00 ns, 18.6659 ns/op
WorkloadPilot    2: 3200000 op, 65319000.00 ns, 20.4122 ns/op
WorkloadPilot    3: 6400000 op, 129496300.00 ns, 20.2338 ns/op
WorkloadPilot    4: 12800000 op, 250337300.00 ns, 19.5576 ns/op
WorkloadPilot    5: 25600000 op, 510138200.00 ns, 19.9273 ns/op

OverheadWarmup   1: 25600000 op, 2900.00 ns, 0.0001 ns/op
OverheadWarmup   2: 25600000 op, 1200.00 ns, 0.0000 ns/op
OverheadWarmup   3: 25600000 op, 1300.00 ns, 0.0001 ns/op
OverheadWarmup   4: 25600000 op, 1200.00 ns, 0.0000 ns/op
OverheadWarmup   5: 25600000 op, 1700.00 ns, 0.0001 ns/op
OverheadWarmup   6: 25600000 op, 1200.00 ns, 0.0000 ns/op

OverheadActual   1: 25600000 op, 3200.00 ns, 0.0001 ns/op
OverheadActual   2: 25600000 op, 1100.00 ns, 0.0000 ns/op
OverheadActual   3: 25600000 op, 1200.00 ns, 0.0000 ns/op
OverheadActual   4: 25600000 op, 1300.00 ns, 0.0001 ns/op
OverheadActual   5: 25600000 op, 1600.00 ns, 0.0001 ns/op
OverheadActual   6: 25600000 op, 2500.00 ns, 0.0001 ns/op
OverheadActual   7: 25600000 op, 4800.00 ns, 0.0002 ns/op
OverheadActual   8: 25600000 op, 1800.00 ns, 0.0001 ns/op
OverheadActual   9: 25600000 op, 1500.00 ns, 0.0001 ns/op
OverheadActual  10: 25600000 op, 1400.00 ns, 0.0001 ns/op
OverheadActual  11: 25600000 op, 1500.00 ns, 0.0001 ns/op
OverheadActual  12: 25600000 op, 1500.00 ns, 0.0001 ns/op
OverheadActual  13: 25600000 op, 1100.00 ns, 0.0000 ns/op
OverheadActual  14: 25600000 op, 1300.00 ns, 0.0001 ns/op
OverheadActual  15: 25600000 op, 1500.00 ns, 0.0001 ns/op
OverheadActual  16: 25600000 op, 1300.00 ns, 0.0001 ns/op
OverheadActual  17: 25600000 op, 1400.00 ns, 0.0001 ns/op
OverheadActual  18: 25600000 op, 1500.00 ns, 0.0001 ns/op
OverheadActual  19: 25600000 op, 2700.00 ns, 0.0001 ns/op
OverheadActual  20: 25600000 op, 1700.00 ns, 0.0001 ns/op

WorkloadWarmup   1: 25600000 op, 508650600.00 ns, 19.8692 ns/op
WorkloadWarmup   2: 25600000 op, 489831000.00 ns, 19.1340 ns/op
WorkloadWarmup   3: 25600000 op, 479210400.00 ns, 18.7192 ns/op
WorkloadWarmup   4: 25600000 op, 469689000.00 ns, 18.3472 ns/op
WorkloadWarmup   5: 25600000 op, 482301300.00 ns, 18.8399 ns/op
WorkloadWarmup   6: 25600000 op, 514117600.00 ns, 20.0827 ns/op
WorkloadWarmup   7: 25600000 op, 563552800.00 ns, 22.0138 ns/op
WorkloadWarmup   8: 25600000 op, 472463300.00 ns, 18.4556 ns/op
WorkloadWarmup   9: 25600000 op, 476250800.00 ns, 18.6035 ns/op
WorkloadWarmup  10: 25600000 op, 488187400.00 ns, 19.0698 ns/op
WorkloadWarmup  11: 25600000 op, 486298300.00 ns, 18.9960 ns/op

WorkloadActual   1: 25600000 op, 474546100.00 ns, 18.5370 ns/op
WorkloadActual   2: 25600000 op, 474246000.00 ns, 18.5252 ns/op
WorkloadActual   3: 25600000 op, 474116900.00 ns, 18.5202 ns/op
WorkloadActual   4: 25600000 op, 412574000.00 ns, 16.1162 ns/op
WorkloadActual   5: 25600000 op, 435993500.00 ns, 17.0310 ns/op
WorkloadActual   6: 25600000 op, 416744600.00 ns, 16.2791 ns/op
WorkloadActual   7: 25600000 op, 415709800.00 ns, 16.2387 ns/op
WorkloadActual   8: 25600000 op, 469929700.00 ns, 18.3566 ns/op
WorkloadActual   9: 25600000 op, 476455600.00 ns, 18.6115 ns/op
WorkloadActual  10: 25600000 op, 475982700.00 ns, 18.5931 ns/op
WorkloadActual  11: 25600000 op, 478063900.00 ns, 18.6744 ns/op
WorkloadActual  12: 25600000 op, 481224400.00 ns, 18.7978 ns/op
WorkloadActual  13: 25600000 op, 483317100.00 ns, 18.8796 ns/op
WorkloadActual  14: 25600000 op, 479098100.00 ns, 18.7148 ns/op
WorkloadActual  15: 25600000 op, 478629900.00 ns, 18.6965 ns/op
WorkloadActual  16: 25600000 op, 478012100.00 ns, 18.6723 ns/op
WorkloadActual  17: 25600000 op, 488968300.00 ns, 19.1003 ns/op
WorkloadActual  18: 25600000 op, 479013700.00 ns, 18.7115 ns/op
WorkloadActual  19: 25600000 op, 471113000.00 ns, 18.4029 ns/op
WorkloadActual  20: 25600000 op, 473742700.00 ns, 18.5056 ns/op
WorkloadActual  21: 25600000 op, 473531000.00 ns, 18.4973 ns/op
WorkloadActual  22: 25600000 op, 473799100.00 ns, 18.5078 ns/op
WorkloadActual  23: 25600000 op, 474769300.00 ns, 18.5457 ns/op
WorkloadActual  24: 25600000 op, 488069000.00 ns, 19.0652 ns/op
WorkloadActual  25: 25600000 op, 477681000.00 ns, 18.6594 ns/op
WorkloadActual  26: 25600000 op, 476336900.00 ns, 18.6069 ns/op
WorkloadActual  27: 25600000 op, 484448500.00 ns, 18.9238 ns/op
WorkloadActual  28: 25600000 op, 488672400.00 ns, 19.0888 ns/op
WorkloadActual  29: 25600000 op, 484481400.00 ns, 18.9251 ns/op
WorkloadActual  30: 25600000 op, 497529100.00 ns, 19.4347 ns/op
WorkloadActual  31: 25600000 op, 478473500.00 ns, 18.6904 ns/op
WorkloadActual  32: 25600000 op, 471410000.00 ns, 18.4145 ns/op
WorkloadActual  33: 25600000 op, 475205900.00 ns, 18.5627 ns/op
WorkloadActual  34: 25600000 op, 495520100.00 ns, 19.3563 ns/op
WorkloadActual  35: 25600000 op, 522813900.00 ns, 20.4224 ns/op
WorkloadActual  36: 25600000 op, 496332700.00 ns, 19.3880 ns/op
WorkloadActual  37: 25600000 op, 482813300.00 ns, 18.8599 ns/op
WorkloadActual  38: 25600000 op, 488521500.00 ns, 19.0829 ns/op
WorkloadActual  39: 25600000 op, 477374900.00 ns, 18.6475 ns/op
WorkloadActual  40: 25600000 op, 479965300.00 ns, 18.7486 ns/op
WorkloadActual  41: 25600000 op, 473278200.00 ns, 18.4874 ns/op
WorkloadActual  42: 25600000 op, 473517900.00 ns, 18.4968 ns/op
WorkloadActual  43: 25600000 op, 473318800.00 ns, 18.4890 ns/op
WorkloadActual  44: 25600000 op, 492259600.00 ns, 19.2289 ns/op
WorkloadActual  45: 25600000 op, 477755000.00 ns, 18.6623 ns/op
WorkloadActual  46: 25600000 op, 497702200.00 ns, 19.4415 ns/op
WorkloadActual  47: 25600000 op, 503690800.00 ns, 19.6754 ns/op
WorkloadActual  48: 25600000 op, 499229700.00 ns, 19.5012 ns/op
WorkloadActual  49: 25600000 op, 495838400.00 ns, 19.3687 ns/op
WorkloadActual  50: 25600000 op, 499052300.00 ns, 19.4942 ns/op
WorkloadActual  51: 25600000 op, 490882100.00 ns, 19.1751 ns/op
WorkloadActual  52: 25600000 op, 493045200.00 ns, 19.2596 ns/op

WorkloadResult   1: 25600000 op, 474544600.00 ns, 18.5369 ns/op
WorkloadResult   2: 25600000 op, 474244500.00 ns, 18.5252 ns/op
WorkloadResult   3: 25600000 op, 474115400.00 ns, 18.5201 ns/op
WorkloadResult   4: 25600000 op, 412572500.00 ns, 16.1161 ns/op
WorkloadResult   5: 25600000 op, 435992000.00 ns, 17.0309 ns/op
WorkloadResult   6: 25600000 op, 416743100.00 ns, 16.2790 ns/op
WorkloadResult   7: 25600000 op, 415708300.00 ns, 16.2386 ns/op
WorkloadResult   8: 25600000 op, 469928200.00 ns, 18.3566 ns/op
WorkloadResult   9: 25600000 op, 476454100.00 ns, 18.6115 ns/op
WorkloadResult  10: 25600000 op, 475981200.00 ns, 18.5930 ns/op
WorkloadResult  11: 25600000 op, 478062400.00 ns, 18.6743 ns/op
WorkloadResult  12: 25600000 op, 481222900.00 ns, 18.7978 ns/op
WorkloadResult  13: 25600000 op, 483315600.00 ns, 18.8795 ns/op
WorkloadResult  14: 25600000 op, 479096600.00 ns, 18.7147 ns/op
WorkloadResult  15: 25600000 op, 478628400.00 ns, 18.6964 ns/op
WorkloadResult  16: 25600000 op, 478010600.00 ns, 18.6723 ns/op
WorkloadResult  17: 25600000 op, 488966800.00 ns, 19.1003 ns/op
WorkloadResult  18: 25600000 op, 479012200.00 ns, 18.7114 ns/op
WorkloadResult  19: 25600000 op, 471111500.00 ns, 18.4028 ns/op
WorkloadResult  20: 25600000 op, 473741200.00 ns, 18.5055 ns/op
WorkloadResult  21: 25600000 op, 473529500.00 ns, 18.4972 ns/op
WorkloadResult  22: 25600000 op, 473797600.00 ns, 18.5077 ns/op
WorkloadResult  23: 25600000 op, 474767800.00 ns, 18.5456 ns/op
WorkloadResult  24: 25600000 op, 488067500.00 ns, 19.0651 ns/op
WorkloadResult  25: 25600000 op, 477679500.00 ns, 18.6594 ns/op
WorkloadResult  26: 25600000 op, 476335400.00 ns, 18.6069 ns/op
WorkloadResult  27: 25600000 op, 484447000.00 ns, 18.9237 ns/op
