// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 2 benchmarks:
//   Multitasking.CuncurrentInsertionsToDictionary: Job-KEPDVG(Toolchain=InProcessEmitToolchain) [number_of_tasks=100000]
//   Multitasking.RunningMultipleTasksSynchronously: Job-KEPDVG(Toolchain=InProcessEmitToolchain) [number_of_tasks=100000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Multitasking.CuncurrentInsertionsToDictionary: Job-KEPDVG(Toolchain=InProcessEmitToolchain) [number_of_tasks=100000]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 225900.00 ns, 225.9000 us/op
WorkloadJitting  1: 1 op, 78614000.00 ns, 78.6140 ms/op

WorkloadPilot    1: 2 op, 183984600.00 ns, 91.9923 ms/op
WorkloadPilot    2: 3 op, 292784900.00 ns, 97.5950 ms/op
WorkloadPilot    3: 4 op, 412290600.00 ns, 103.0727 ms/op
WorkloadPilot    4: 5 op, 544868900.00 ns, 108.9738 ms/op

WorkloadWarmup   1: 5 op, 543955400.00 ns, 108.7911 ms/op
WorkloadWarmup   2: 5 op, 555720800.00 ns, 111.1442 ms/op
WorkloadWarmup   3: 5 op, 555087300.00 ns, 111.0175 ms/op
WorkloadWarmup   4: 5 op, 537782500.00 ns, 107.5565 ms/op
WorkloadWarmup   5: 5 op, 555579800.00 ns, 111.1160 ms/op
WorkloadWarmup   6: 5 op, 526470300.00 ns, 105.2941 ms/op

WorkloadActual   1: 5 op, 566252800.00 ns, 113.2506 ms/op
WorkloadActual   2: 5 op, 563891400.00 ns, 112.7783 ms/op
WorkloadActual   3: 5 op, 605741800.00 ns, 121.1484 ms/op
WorkloadActual   4: 5 op, 566840900.00 ns, 113.3682 ms/op
WorkloadActual   5: 5 op, 529017600.00 ns, 105.8035 ms/op
WorkloadActual   6: 5 op, 575338200.00 ns, 115.0676 ms/op
WorkloadActual   7: 5 op, 535235600.00 ns, 107.0471 ms/op
WorkloadActual   8: 5 op, 748419600.00 ns, 149.6839 ms/op
WorkloadActual   9: 5 op, 799146500.00 ns, 159.8293 ms/op
WorkloadActual  10: 5 op, 785286300.00 ns, 157.0573 ms/op
WorkloadActual  11: 5 op, 663399200.00 ns, 132.6798 ms/op
WorkloadActual  12: 5 op, 552463400.00 ns, 110.4927 ms/op
WorkloadActual  13: 5 op, 570080000.00 ns, 114.0160 ms/op
WorkloadActual  14: 5 op, 565917600.00 ns, 113.1835 ms/op
WorkloadActual  15: 5 op, 542845000.00 ns, 108.5690 ms/op
WorkloadActual  16: 5 op, 555539400.00 ns, 111.1079 ms/op
WorkloadActual  17: 5 op, 521315200.00 ns, 104.2630 ms/op
WorkloadActual  18: 5 op, 568296700.00 ns, 113.6593 ms/op
WorkloadActual  19: 5 op, 528250200.00 ns, 105.6500 ms/op
WorkloadActual  20: 5 op, 552440400.00 ns, 110.4881 ms/op
WorkloadActual  21: 5 op, 541634500.00 ns, 108.3269 ms/op
WorkloadActual  22: 5 op, 536007400.00 ns, 107.2015 ms/op
WorkloadActual  23: 5 op, 552888800.00 ns, 110.5778 ms/op
WorkloadActual  24: 5 op, 635011800.00 ns, 127.0024 ms/op
WorkloadActual  25: 5 op, 669911600.00 ns, 133.9823 ms/op
WorkloadActual  26: 5 op, 537564200.00 ns, 107.5128 ms/op
WorkloadActual  27: 5 op, 565844300.00 ns, 113.1689 ms/op
WorkloadActual  28: 5 op, 634144300.00 ns, 126.8289 ms/op
WorkloadActual  29: 5 op, 577817600.00 ns, 115.5635 ms/op
WorkloadActual  30: 5 op, 568883200.00 ns, 113.7766 ms/op
WorkloadActual  31: 5 op, 547214100.00 ns, 109.4428 ms/op
WorkloadActual  32: 5 op, 551847200.00 ns, 110.3694 ms/op
WorkloadActual  33: 5 op, 544402300.00 ns, 108.8805 ms/op
WorkloadActual  34: 5 op, 538326000.00 ns, 107.6652 ms/op
WorkloadActual  35: 5 op, 531020800.00 ns, 106.2042 ms/op
WorkloadActual  36: 5 op, 550148100.00 ns, 110.0296 ms/op
WorkloadActual  37: 5 op, 540818500.00 ns, 108.1637 ms/op
WorkloadActual  38: 5 op, 674401900.00 ns, 134.8804 ms/op
WorkloadActual  39: 5 op, 702473700.00 ns, 140.4947 ms/op
WorkloadActual  40: 5 op, 650564800.00 ns, 130.1130 ms/op
WorkloadActual  41: 5 op, 634131400.00 ns, 126.8263 ms/op
WorkloadActual  42: 5 op, 541344600.00 ns, 108.2689 ms/op
WorkloadActual  43: 5 op, 566867000.00 ns, 113.3734 ms/op
WorkloadActual  44: 5 op, 550489100.00 ns, 110.0978 ms/op
WorkloadActual  45: 5 op, 555128700.00 ns, 111.0257 ms/op
WorkloadActual  46: 5 op, 540312000.00 ns, 108.0624 ms/op
WorkloadActual  47: 5 op, 552651100.00 ns, 110.5302 ms/op
WorkloadActual  48: 5 op, 524331900.00 ns, 104.8664 ms/op
WorkloadActual  49: 5 op, 544891700.00 ns, 108.9783 ms/op

WorkloadResult   1: 5 op, 566252800.00 ns, 113.2506 ms/op
WorkloadResult   2: 5 op, 563891400.00 ns, 112.7783 ms/op
WorkloadResult   3: 5 op, 605741800.00 ns, 121.1484 ms/op
WorkloadResult   4: 5 op, 566840900.00 ns, 113.3682 ms/op
WorkloadResult   5: 5 op, 529017600.00 ns, 105.8035 ms/op
WorkloadResult   6: 5 op, 575338200.00 ns, 115.0676 ms/op
WorkloadResult   7: 5 op, 535235600.00 ns, 107.0471 ms/op
WorkloadResult   8: 5 op, 663399200.00 ns, 132.6798 ms/op
WorkloadResult   9: 5 op, 552463400.00 ns, 110.4927 ms/op
WorkloadResult  10: 5 op, 570080000.00 ns, 114.0160 ms/op
WorkloadResult  11: 5 op, 565917600.00 ns, 113.1835 ms/op
WorkloadResult  12: 5 op, 542845000.00 ns, 108.5690 ms/op
WorkloadResult  13: 5 op, 555539400.00 ns, 111.1079 ms/op
WorkloadResult  14: 5 op, 521315200.00 ns, 104.2630 ms/op
WorkloadResult  15: 5 op, 568296700.00 ns, 113.6593 ms/op
WorkloadResult  16: 5 op, 528250200.00 ns, 105.6500 ms/op
WorkloadResult  17: 5 op, 552440400.00 ns, 110.4881 ms/op
WorkloadResult  18: 5 op, 541634500.00 ns, 108.3269 ms/op
WorkloadResult  19: 5 op, 536007400.00 ns, 107.2015 ms/op
WorkloadResult  20: 5 op, 552888800.00 ns, 110.5778 ms/op
WorkloadResult  21: 5 op, 635011800.00 ns, 127.0024 ms/op
WorkloadResult  22: 5 op, 537564200.00 ns, 107.5128 ms/op
WorkloadResult  23: 5 op, 565844300.00 ns, 113.1689 ms/op
WorkloadResult  24: 5 op, 634144300.00 ns, 126.8289 ms/op
WorkloadResult  25: 5 op, 577817600.00 ns, 115.5635 ms/op
WorkloadResult  26: 5 op, 568883200.00 ns, 113.7766 ms/op
WorkloadResult  27: 5 op, 547214100.00 ns, 109.4428 ms/op
WorkloadResult  28: 5 op, 551847200.00 ns, 110.3694 ms/op
WorkloadResult  29: 5 op, 544402300.00 ns, 108.8805 ms/op
WorkloadResult  30: 5 op, 538326000.00 ns, 107.6652 ms/op
WorkloadResult  31: 5 op, 531020800.00 ns, 106.2042 ms/op
WorkloadResult  32: 5 op, 550148100.00 ns, 110.0296 ms/op
WorkloadResult  33: 5 op, 540818500.00 ns, 108.1637 ms/op
WorkloadResult  34: 5 op, 650564800.00 ns, 130.1130 ms/op
